loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,term_ 36 months,term_ 60 months
5000.0,10.65,162.87,24000.0,27.65,0.0,1.0,3.0,0.0,13648.0,83.7,9.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2400.0,15.96,84.33,12252.0,8.72,0.0,2.0,2.0,0.0,2956.0,98.5,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10000.0,13.49,339.31,49200.0,20.0,0.0,1.0,10.0,0.0,5598.0,21.0,37.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3000.0,12.69,67.79,80000.0,17.94,0.0,0.0,15.0,0.0,27783.0,53.9,38.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5000.0,7.9,156.46,36000.0,11.2,0.0,3.0,9.0,0.0,7963.0,28.3,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7000.0,15.96,170.08,47004.0,23.51,0.0,1.0,7.0,0.0,17726.0,85.6,11.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3000.0,18.64,109.43,48000.0,5.35,0.0,2.0,4.0,0.0,8221.0,87.5,4.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6500.0,14.65,153.45,72000.0,16.12,0.0,2.0,14.0,0.0,4032.0,20.6,23.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12000.0,12.69,402.54,75000.0,10.78,0.0,0.0,12.0,0.0,23336.0,67.1,34.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3000.0,9.91,96.68,15000.0,12.56,0.0,2.0,11.0,0.0,7323.0,43.1,11.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000.0,16.29,35.31,28000.0,20.31,0.0,1.0,11.0,0.0,6524.0,81.5,23.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,15.27,347.98,42000.0,18.6,0.0,2.0,14.0,0.0,24043.0,70.2,28.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3600.0,6.03,109.57,110000.0,10.52,0.0,0.0,20.0,0.0,22836.0,16.0,42.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6000.0,11.71,198.46,84000.0,18.44,2.0,0.0,4.0,0.0,0.0,37.73,14.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9200.0,6.03,280.01,77385.19,9.86,0.0,0.0,8.0,0.0,7314.0,23.1,28.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20250.0,15.27,484.63,43370.0,26.53,0.0,3.0,8.0,0.0,17813.0,85.6,22.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10000.0,11.71,330.76,50000.0,11.18,0.0,0.0,8.0,0.0,10056.0,82.4,21.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,11.71,330.76,50000.0,16.01,0.0,0.0,6.0,0.0,17800.0,91.8,17.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15000.0,9.91,483.38,92000.0,29.44,0.0,0.0,8.0,0.0,13707.0,93.9,31.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4000.0,11.71,132.31,106000.0,5.63,1.0,0.0,12.0,0.0,6110.0,37.7,44.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8500.0,11.71,281.15,25000.0,12.19,0.0,0.0,8.0,0.0,6441.0,59.1,12.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4375.0,7.51,136.11,17108.0,20.34,0.0,0.0,6.0,0.0,11210.0,86.9,12.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31825.0,7.9,995.82,75000.0,14.03,0.0,0.0,12.0,0.0,23151.0,27.4,26.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,15.96,242.97,29120.0,22.83,0.0,1.0,11.0,0.0,16158.0,63.6,31.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5000.0,8.9,158.77,24044.0,11.93,0.0,0.0,8.0,0.0,2224.0,29.3,16.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7000.0,15.96,245.97,34000.0,6.35,0.0,1.0,6.0,0.0,6113.0,60.5,6.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12400.0,10.65,403.91,41000.0,11.8,0.0,2.0,9.0,0.0,11095.0,57.2,12.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10800.0,9.91,348.03,55596.0,5.5,0.0,0.0,7.0,0.0,2535.0,13.3,18.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15000.0,7.9,469.36,45000.0,8.48,0.0,0.0,7.0,0.0,6704.0,50.4,27.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,12.42,200.5,36852.0,10.62,0.0,1.0,7.0,0.0,7310.0,66.5,12.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12500.0,12.69,282.44,27000.0,16.04,0.0,3.0,6.0,0.0,10143.0,50.0,24.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9600.0,7.51,298.67,68004.0,6.63,0.0,0.0,6.0,0.0,2896.0,18.1,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12000.0,7.9,375.49,62300.0,16.7,0.0,0.0,15.0,0.0,8601.0,21.0,25.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
